N-Negative,N-Positive,Randomizer,Layers,Layer 1,Layer 2,Layer 3,Layer 4,Act - 1,Act -2,Act-3,Act-4,Optimizer,Epoch,Loss,Metric,Accuracy Train,Accuracy Test,Delta,FileName,Total,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.957173467,,NN-5B,29072,199,28261,263,349,98%,43%,36%,39%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.964960098,,NN-5B,29072,168,28407,117,380,98%,59%,31%,40%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.95834142,,NN-5B,29072,201,28203,321,347,98%,39%,37%,38%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.967101395,,NN-5B,29072,126,28432,92,422,98%,58%,23%,33%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.968464077,,NN-5B,29072,131,28450,74,417,98%,64%,24%,35%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.963986754,,NN-5B,29072,144,28406,118,404,98%,55%,26%,36%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.964376092,,NN-5B,29072,160,28402,122,388,98%,57%,29%,39%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.963792086,,NN-5B,29072,156,28402,122,392,98%,56%,28%,38%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.960482776,,NN-5B,29072,170,28255,269,378,98%,39%,31%,34%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.963986754,,NN-5B,29072,168,28366,158,380,98%,52%,31%,38%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.961066782,,NN-5B,29072,142,28386,138,406,98%,51%,26%,34%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.962234795,,NN-5B,29072,171,28381,143,377,98%,54%,31%,40%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.964181423,,NN-5B,29072,181,28379,145,367,98%,56%,33%,41%
20000,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.966517448,,NN-5B,29072,92,28428,96,456,98%,49%,17%,25%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.733576655,,NN-1B,29072,488,17505,11019,60,62%,4%,89%,8%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.729927003,,NN-1B,29072,493,18485,10039,55,65%,5%,90%,9%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.7591241,,NN-1B,29072,454,20199,8325,94,71%,5%,83%,10%
548,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.686131358,,NN-1B,29072,474,18544,9980,74,65%,5%,86%,9%
