,Loss,Accuracy,TP,TN,FP,FN
0,0.3241035642937415,0.9614561200141907,165.0,28324.0,200.0,383.0
1,0.2938750594171228,0.9657387733459473,172.0,28401.0,123.0,376.0
2,0.25514076100957866,0.9616507887840271,177.0,28348.0,176.0,371.0
3,0.2524933798526172,0.9608721137046814,164.0,28294.0,230.0,384.0
4,0.3438630109068738,0.9641814231872559,186.0,28339.0,185.0,362.0
5,0.41018118137442605,0.9602881073951721,174.0,28316.0,208.0,374.0
6,0.34073937505756297,0.9571734666824341,199.0,28261.0,263.0,349.0
7,0.3487372448283897,0.9649600982666016,168.0,28407.0,117.0,380.0
8,0.2786384311595129,0.9583414196968079,201.0,28203.0,321.0,347.0
9,0.22984862185728927,0.9671013951301575,126.0,28432.0,92.0,422.0
10,0.2060749434052169,0.9684640765190125,131.0,28450.0,74.0,417.0
11,0.3039273995139591,0.9639867544174194,144.0,28406.0,118.0,404.0
12,0.4234019599804908,0.9643760919570923,160.0,28402.0,122.0,388.0
13,0.3174481749859491,0.963792085647583,156.0,28402.0,122.0,392.0
14,0.35361161768865745,0.9604827761650085,170.0,28255.0,269.0,378.0
15,0.2594384095717293,0.9639867544174194,168.0,28366.0,158.0,380.0
16,0.47393968030563793,0.9610667824745178,142.0,28386.0,138.0,406.0
17,0.4310848460091629,0.9622347950935364,171.0,28381.0,143.0,377.0
18,0.33361164367826085,0.9641814231872559,181.0,28379.0,145.0,367.0
19,0.23633488187798823,0.966517448425293,92.0,28428.0,96.0,456.0
