,Loss,Accuracy,TP,TN,FP,FN
0,0.1128421376448604,0.9713840484619141,5.0,28521.0,3.0,543.0
1,0.11557068597581198,0.9704107642173767,7.0,28509.0,15.0,541.0
2,0.12128881424091102,0.9713840484619141,10.0,28519.0,5.0,538.0
3,0.11433233817031649,0.9713840484619141,1.0,28520.0,4.0,547.0
4,0.1084940482466885,0.9713840484619141,3.0,28520.0,4.0,545.0
5,0.1070715978506685,0.9711894392967224,7.0,28517.0,7.0,541.0
6,0.1129747146538591,0.970994770526886,8.0,28514.0,10.0,540.0
7,0.11500173564641328,0.9715787172317505,8.0,28516.0,8.0,540.0
8,0.10777726366242849,0.970994770526886,3.0,28521.0,3.0,545.0
9,0.11363320721247003,0.9706054329872131,23.0,28495.0,29.0,525.0
10,0.11487275900974427,0.9706054329872131,13.0,28509.0,15.0,535.0
11,0.11475806974682429,0.9704107642173767,5.0,28516.0,8.0,543.0
12,0.11790432362257564,0.9711894392967224,5.0,28522.0,2.0,543.0
13,0.11456910587944408,0.9700214266777039,8.0,28504.0,20.0,540.0
14,0.11144271520225134,0.970994770526886,5.0,28514.0,10.0,543.0
15,0.1112681172725777,0.9713840484619141,2.0,28521.0,3.0,546.0
16,0.11466912969624878,0.9711894392967224,7.0,28506.0,18.0,541.0
17,0.1145887957638935,0.9713840484619141,1.0,28523.0,1.0,547.0
18,0.1147366243564876,0.9715787172317505,4.0,28517.0,7.0,544.0
19,0.11377488173281888,0.9686587452888489,18.0,28481.0,43.0,530.0
