,Loss,Accuracy,TP,TN,FP,FN
0,1.3410249058057502,0.7226277589797974,432.0,21923.0,6601.0,116.0
1,1.530641724303401,0.7177615761756897,379.0,23385.0,5139.0,169.0
2,1.3917025624980601,0.7250608205795288,440.0,23002.0,5522.0,108.0
3,1.316205061265152,0.7299270033836365,432.0,21711.0,6813.0,116.0
4,1.3463785949994758,0.7104622721672058,398.0,22770.0,5754.0,150.0
5,1.4255698089762037,0.698296844959259,403.0,23473.0,5051.0,145.0
6,1.2354164918263753,0.7226277589797974,425.0,22484.0,6040.0,123.0
7,1.335704264559595,0.7518247961997986,417.0,23076.0,5448.0,131.0
8,1.3675917479823685,0.6861313581466675,411.0,22453.0,6071.0,137.0
9,1.4119846571390937,0.712895393371582,396.0,23010.0,5514.0,152.0
10,1.5213759917122314,0.7177615761756897,365.0,24263.0,4261.0,183.0
11,1.5011382558339994,0.7250608205795288,356.0,24009.0,4515.0,192.0
12,1.3448080810607206,0.7031630277633667,448.0,22018.0,6506.0,100.0
13,1.5411527475881461,0.6861313581466675,428.0,20519.0,8005.0,120.0
14,1.065192952063252,0.6958637237548828,413.0,22838.0,5686.0,135.0
15,1.349885153944475,0.7372262477874756,337.0,24269.0,4255.0,211.0
16,1.6121677708451765,0.7153284549713135,415.0,21935.0,6589.0,133.0
17,1.481333517680203,0.7299270033836365,406.0,23514.0,5010.0,142.0
18,1.4764869311720206,0.6958637237548828,392.0,22230.0,6294.0,156.0
19,2.180799782421177,0.6934306621551514,379.0,22778.0,5746.0,169.0
