,Loss,Accuracy,TP,TN,FP,FN
0,0.47386329278458644,0.7408758997917175,447.0,20200.0,8324.0,101.0
1,0.6192328059760324,0.7189781069755554,468.0,19437.0,9087.0,80.0
2,0.4880018817247265,0.7481752038002014,436.0,21005.0,7519.0,112.0
3,0.4982317187925325,0.7627737522125244,449.0,20311.0,8213.0,99.0
4,0.5612151009322953,0.7043795585632324,438.0,20723.0,7801.0,110.0
5,0.5488694601685461,0.7481752038002014,451.0,20589.0,7935.0,97.0
6,0.5360353167039634,0.7335766553878784,441.0,20335.0,8189.0,107.0
7,0.5357842393165088,0.7335766553878784,446.0,20508.0,8016.0,102.0
8,0.5283371025193346,0.7372262477874756,446.0,20934.0,7590.0,102.0
9,0.49154889061503165,0.7700729966163635,447.0,20434.0,8090.0,101.0
10,0.5490085560910023,0.7335766553878784,464.0,19562.0,8962.0,84.0
11,0.5178329131028948,0.7518247961997986,450.0,20053.0,8471.0,98.0
12,0.5010156109385246,0.7335766553878784,437.0,20579.0,7945.0,111.0
13,0.5331849329663019,0.7518247961997986,460.0,19873.0,8651.0,88.0
14,0.4932490822172513,0.7773722410202026,451.0,20344.0,8180.0,97.0
15,0.5387771662569394,0.7481752038002014,451.0,20638.0,7886.0,97.0
16,0.4973073649580461,0.7810218930244446,436.0,21222.0,7302.0,112.0
17,0.5726384785923645,0.7335766553878784,437.0,20959.0,7565.0,111.0
18,0.511871801458136,0.7554744482040405,451.0,20406.0,8118.0,97.0
19,0.49506031836036346,0.7773722410202026,455.0,20455.0,8069.0,93.0
